geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
1	238170	Siding Contractors	1220	0.000349664020803871	-1.26907980606211	11.19
1	238190	Other Foundation, Structure, and Building Exterior Contractors	1014	0.000377066941440079	-1.46675051201049	8.24
1	238210	Electrical Contractors and Other Wiring Installation Contractors	919	0.0069573474257351	-0.938886309276738	19.01
1	238220	Plumbing, Heating, and Air-Conditioning Contractors	1011	0.00818295839613671	-0.658246646192972	27.24
1	238290	Other Building Equipment Contractors	838	0.00101962154667843	-1.13850204994202	14.89
1	238310	Drywall and Insulation Contractors	749	0.00179557106849087	-0.85613359063818	21.22
1	238320	Painting and Wall Covering Contractors	1039	0.00191428072719837	-0.926139810031255	19.22
1	238330	Flooring Contractors	1054	0.000804235852492183	-1.06763571094339	16.47
1	238340	Tile and Terrazzo Contractors	684	0.000504811475592838	-0.560164324061377	28.72
1	238350	Finish Carpentry Contractors	1337	0.00153845285439078	-1.32530524186569	10.03
1	238390	Other Building Finishing Contractors	594	0.000641401583038674	-0.268102661546305	38.65
1	238910	Site Preparation Contractors	2171	0.00335949366699402	-1.78773158281685	4.22
1	238990	All Other Specialty Trade Contractors	1437	0.00334239337257984	-1.44540654452936	8.45
1	311111	Dog and Cat Food Manufacturing	226	0.000222567703111629	-0.270259483096332	38.54
1	311119	Other Animal Food Manufacturing	735	0.000217433599287178	-1.65875005544547	5.28
1	311211	Flour Milling	225	8.62644171084998e-05	-0.839192198679137	22.07
1	311212	Rice Milling	59	3.08677236641068e-05	-1.51846547413539	6.86
1	311213	Malt Manufacturing	73	6.96976105777545e-06	0.226187942286918	55.86
1	311221	Wet Corn Milling and Starch Manufacturing	55	7.80785331336475e-05	-0.896482389900564	20.06
1	311224	Soybean and Other Oilseed Processing	188	5.8385372877398e-05	-1.4752211123514	8.13
1	311225	Fats and Oils Refining and Blending	143	5.19376268453489e-05	-0.382451723218053	34.64
1	311230	Breakfast Cereal Manufacturing	101	7.60535737481374e-05	-0.20930238792403	40.87
1	311313	Beet Sugar Manufacturing	27	3.93977933702073e-05	-1.51333341634319	7.18
1	311314	Cane Sugar Manufacturing	33	3.83078718879214e-05	0.521850403541536	68.32
1	311340	Nonchocolate Confectionery Manufacturing	179	0.000155571950524173	0.560871938950942	70.01
1	311351	Chocolate and Confectionery Manufacturing from Cacao Beans	97	6.02956036858253e-05	1.49288829824683	94.93
1	311352	Confectionery Manufacturing from Purchased Chocolate	290	0.000187713161393898	0.514520153359231	68
1	311411	Frozen Fruit, Juice, and Vegetable Manufacturing	97	0.000174289917875219	-0.104632128663222	44.24
1	311412	Frozen Specialty Food Manufacturing	192	0.000373189115534683	0.429959900364832	63.46
1	311421	Fruit and Vegetable Canning	297	0.000322043115871205	-0.222754294031683	40.13
1	311422	Specialty Canning	57	6.89977662575499e-05	0.777328543042199	77.82
1	311423	Dried and Dehydrated Food Manufacturing	108	7.67706273549044e-05	-0.28048505858758	38.01
1	311511	Fluid Milk Manufacturing	251	0.00032791721901784	0.508273201009253	67.9
1	311512	Creamery Butter Manufacturing	46	2.20106775133205e-05	0.438289928225855	63.99
1	311513	Cheese Manufacturing	228	0.000360121530604961	-0.908696648575034	19.64
1	311514	Dry, Condensed, and Evaporated Dairy Product Manufacturing	126	0.000116891210760733	-0.755171524788479	23.86
1	311520	Ice Cream and Frozen Dessert Manufacturing	212	0.000150604203136491	-0.199281093588672	41.39
1	311611	Animal (except Poultry) Slaughtering	557	0.000872241216557968	-2.30092466792869	1.06
1	311612	Meat Processed from Carcasses	510	0.000886633916552995	-1.24325612061055	11.51
1	311613	Rendering and Meat Byproduct Processing	170	4.8065537368807e-05	-1.06765784940326	16.37
1	311615	Poultry Processing	239	0.00142513543880618	-1.26595017502011	11.3
1	311710	Seafood Product Preparation and Packaging	174	0.000187128045650776	-0.453574530493447	32.31
1	311811	Retail Bakeries	659	0.000737544130633996	-0.407107191407598	34
1	311812	Commercial Bakeries	336	0.000892008950389321	0.789809533614356	78.25
1	311813	Frozen Cakes, Pies, and Other Pastries Manufacturing	100	8.12737240054013e-05	1.31750027278362	91.45
1	311821	Cookie and Cracker Manufacturing	138	0.000225344134677031	1.11832966811474	86.69
1	311824	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour	165	0.000127767479868175	1.16568424949982	87.75
1	311830	Tortilla Manufacturing	114	0.000125719574767248	0.374051517615638	61.46
1	311911	Roasted Nuts and Peanut Butter Manufacturing	101	9.64408418957374e-05	0.760038924147388	77.51
1	311919	Other Snack Food Manufacturing	155	0.000285708575509106	0.599114153305673	71.59
1	311920	Coffee and Tea Manufacturing	277	0.000168048683281919	0.451462446150043	64.63
1	311930	Flavoring Syrup and Concentrate Manufacturing	76	5.8006768573025e-05	2.21684642906999	99.37
1	311941	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing	129	0.000123212755357991	0.987978329839173	83.1
1	311942	Spice and Extract Manufacturing	181	0.000168823101177228	0.624535632940714	72.65
1	311991	Perishable Prepared Food Manufacturing	190	0.000403477459884522	0.880303737114443	80.36
1	311999	All Other Miscellaneous Food Manufacturing	293	0.000252672481738136	-0.270295233538772	38.44
1	312111	Soft Drink Manufacturing	253	0.000473519256193525	1.03791802694647	84.58
1	312112	Bottled Water Manufacturing	235	0.000126746395532139	0.142788643007346	52.38
1	312113	Ice Manufacturing	270	4.60061594101721e-05	0.115486139565369	51.64
1	312120	Breweries	658	0.000640816467295552	-0.0775181995398284	45.72
1	312130	Wineries	481	0.000460841748425884	-0.918429533686373	19.43
1	312140	Distilleries	365	0.000158617994245719	-0.165589091793066	42.13
1	312230	Tobacco Manufacturing	80	6.20853694883158e-05	0.863217100544836	79.94
1	313110	Fiber, Yarn, and Thread Mills	131	0.000122639112472577	-0.862194203143083	20.8
1	313210	Broadwoven Fabric Mills	161	0.000114143461339602	-0.545830701406743	29.36
1	313220	Narrow Fabric Mills and Schiffli Machine Embroidery	101	3.22043115871205e-05	0.566117193659679	70.22
1	313230	Nonwoven Fabric Mills	144	8.97062744209815e-05	0.710678328740113	75.92
1	313240	Knit Fabric Mills	67	2.56418369779887e-05	1.21929762873102	89.44
1	313310	Textile and Fabric Finishing Mills	262	0.000100186729937488	-0.494255847469689	31.26
1	313320	Fabric Coating Mills	102	3.67590360973046e-05	1.29072308265988	90.81
1	314110	Carpet and Rug Mills	60	0.000153495363278976	-0.105479186906327	44.14
1	314120	Curtain and Linen Mills	309	8.75608500295346e-05	-0.00322006642693084	47.94
1	314910	Textile Bag and Canvas Mills	430	0.000141425916969873	-0.0618486024296222	46.15
1	314994	Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills	94	2.96802828913006e-05	0.346859530138311	60.3
1	314999	All Other Miscellaneous Textile Product Mills	585	0.000190621530822945	-0.501992020204183	30.94
1	315120	Apparel Knitting Mills	68	3.75449268503213e-05	0.451580878871946	64.73
1	315210	Cut and Sew Apparel Contractors	292	0.000156432414852294	-0.904249866925825	19.75
