geo_aggregation_level,from,to,weight
1,111000,112000,0.681176470588235
1,113110,113210,0.333832335329341
1,111000,113310,0.410975609756098
1,112000,113310,0.429411764705882
1,113110,113310,0.394294074615947
1,113210,113310,0.248719824433065
1,114111,114112,0.602766798418972
1,111000,114210,0.321951219512195
1,112000,114210,0.344117647058824
1,113110,114210,0.270576131687243
1,113310,114210,0.360643745427944
1,114111,114210,0.263374485596708
1,114112,114210,0.242798353909465
1,111000,115112,0.659756097560976
1,112000,115112,0.605882352941176
1,113310,115112,0.436590436590437
1,114210,115112,0.322245322245322
1,111000,115113,0.251829268292683
1,112000,115113,0.242352941176471
1,115112,115113,0.268191268191268
1,111000,115114,0.248780487804878
1,115112,115114,0.252945252945253
1,115113,115114,0.339321357285429
1,111000,115115,0.72
1,112000,115115,0.746111111111111
1,113310,115115,0.456111111111111
1,114210,115115,0.347222222222222
1,115112,115115,0.641666666666667
1,111000,115116,0.279268292682927
1,115112,115116,0.301455301455301
1,115113,115116,0.301785714285714
1,115114,115116,0.310714285714286
1,115115,115116,0.254444444444444
1,111000,115210,0.602439024390244
1,112000,115210,0.682941176470588
1,113310,115210,0.489732420659614
1,114210,115210,0.346608587429994
1,115112,115210,0.564405724953329
1,115115,115210,0.662777777777778
1,111000,115310,0.260365853658537
1,112000,115310,0.267647058823529
1,113110,115310,0.43
1,113210,115310,0.256666666666667
1,113310,115310,0.517190929041697
1,114111,115310,0.246666666666667
1,114210,115310,0.374485596707819
1,115112,115310,0.275121275121275
1,115115,115310,0.284444444444444
1,115210,115310,0.319850653391413
1,211120,211130,0.442970822281167
1,212114,212115,0.4
1,212311,212319,0.248322147651007
1,111000,212321,0.282317073170732
1,112000,212321,0.299411764705882
1,113310,212321,0.276517922457937
1,114210,212321,0.335390946502058
1,115112,212321,0.282744282744283
1,115115,212321,0.258888888888889
1,115210,212321,0.303049159925327
1,115310,212321,0.283333333333333
1,211120,213111,0.489559164733179
1,211130,213111,0.422273781902552
1,211120,213112,0.545286506469501
1,211130,213112,0.44177449168207
1,213111,213112,0.532347504621072
1,212114,213113,0.433333333333333
1,212115,213113,0.366666666666667
1,212220,213114,0.247706422018349
1,111000,221122,0.482317073170732
1,112000,221122,0.497058823529412
1,113110,221122,0.241588156123822
