geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,48033,Borden County,60,0.411254500975628,70.03,-7.40278924354616,90.65
1,48035,Bosque County,107,-0.517609932860817,35.28,-13.1999292501003,53.32
1,48037,Bowie County,185,0.734409410921287,77.51,-10.8374849696179,73.75
1,48039,Brazoria County,212,0.680324345445947,76.65,-4.84257786371961,95.77
1,48041,Brazos County,150,1.06817641284623,84.09,-10.3921590553846,76.74
1,48043,Brewster County,103,-0.10923705798973,52.15,-15.0651505072298,29.34
1,48045,Briscoe County,71,-0.587525088575834,31.47,-15.2007214531557,27.3
1,48047,Brooks County,71,-1.09206014290324,11.33,-16.2458280434624,11.8
1,48049,Brown County,142,0.271309466858673,65.7,-14.6954472964243,35
1,48051,Burleson County,127,-0.701353347258533,26.31,-9.8843230205342,79.54
1,48053,Burnet County,192,0.441482939729109,70.86,-7.41464113880316,90.58
1,48055,Caldwell County,141,-0.129585267485497,51.16,-11.8878303323318,65.67
1,48057,Calhoun County,85,0.0597580306041435,58.54,-13.222626822705,53.01
1,48059,Callahan County,130,-0.465188746703831,37.67,-10.2890032077376,77.31
1,48061,Cameron County,172,1.1120787389874,84.92,-9.79238667224154,80.31
1,48063,Camp County,96,-0.555014213590566,33.34,-15.2896260600864,26.03
1,48065,Carson County,42,-0.789658411136128,22.43,-8.20019147296889,87.88
1,48067,Cass County,109,-0.582115890378974,31.66,-15.5268766798022,21.83
1,48069,Castro County,58,-1.49844488666796,3.47,-13.7893871166784,47.25
1,48071,Chambers County,125,0.376750905266212,69.07,-10.2886028460456,77.35
1,48073,Cherokee County,142,0.0303046589774685,57.4,-10.0607197851367,78.65
1,48075,Childress County,83,-0.274368341347702,45.59,-15.1124965079043,28.51
1,48077,Clay County,94,-0.63071643956354,29.75,-15.3835284410994,24.4
1,48079,Cochran County,90,-0.567405273412864,32.58,-13.5584943033527,50.02
1,48081,Coke County,72,-0.586658090260165,31.5,-13.3735649089565,51.7
1,48083,Coleman County,103,-0.659412974547664,28.29,-14.3913944785246,39.33
1,48085,Collin County,228,2.55716324707172,98.85,-10.063045591153,78.62
1,48087,Collingsworth County,79,-0.921071504467792,17.05,-16.8793666561215,5.41
1,48089,Colorado County,128,-0.549320350946721,33.73,-11.2026281360492,71.24
1,48091,Comal County,251,1.0448284653424,83.52,-2.48510685420412,98.22
1,48093,Comanche County,97,-0.726722506477105,25.39,-12.9310576319968,55.9
1,48095,Concho County,77,-0.271061237429236,45.69,-11.6065392345162,67.99
1,48097,Cooke County,144,-0.050455237811327,54.15,-12.1289908952515,63.67
1,48099,Coryell County,126,0.296780691477873,66.34,-12.7173798039973,58.29
1,48101,Cottle County,98,0.906795256537799,81.01,-7.78999463341779,89.25
1,48103,Crane County,67,-1.09502155280706,11.29,-15.3103816642779,25.68
1,48105,Crockett County,78,-0.854984066623243,19.69,-14.4112279660751,39.2
1,48107,Crosby County,79,-0.861673342875976,19.5,-13.0700531712442,54.53
1,48109,Culberson County,60,-0.385684956029332,40.88,-12.334181236436,62.07
1,48111,Dallam County,76,-0.782787367159604,22.69,-15.5367333605653,21.73
1,48113,Dallas County,330,2.54979260027908,98.79,-9.3744036552304,82.34
1,48115,Dawson County,90,-0.629725308661226,29.78,-12.8281621700917,57.43
1,48117,Deaf Smith County,76,-1.12693701860062,10.34,-15.1630529138265,27.84
1,48119,Delta County,92,-0.554109141003426,33.38,-14.9537842210791,31.12
1,48121,Denton County,278,1.62223386146251,92.55,-5.42118559522553,95.16
1,48123,DeWitt County,99,-0.702232939045107,26.25,-15.2032522778097,27.24
1,48125,Dickens County,94,-0.38910710582334,40.79,-12.357440852653,61.79
1,48127,Dimmit County,86,-0.648271960562359,28.64,-15.0251739956396,30
1,48129,Donley County,84,-1.04639334906018,12.92,-16.7567542735601,6.52
1,48131,Duval County,69,-0.605893171530718,30.64,-12.3840759953194,61.47
1,48133,Eastland County,120,-0.546211862315467,33.92,-12.7306512708676,58.13
1,48135,Ector County,181,0.712270648062762,77,-7.52372159806615,90.17
1,48137,Edwards County,96,-0.563901058352209,32.83,-14.4792095106583,38.34
1,48139,Ellis County,222,0.830501235543924,79.45,-2.94471480056848,97.77
1,48141,El Paso County,206,1.48867181585253,90.96,-7.50878229806566,90.26
1,48143,Erath County,146,-0.102719437360366,52.34,-10.5895984393592,75.47
1,48145,Falls County,93,-0.829428059399712,20.78,-14.1027366395381,43.33
1,48147,Fannin County,128,-0.371203953961614,41.71,-12.5614409348232,59.78
