geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
2	561920	Convention and Trade Show Organizers	20	0.000343721080510985	1.36475887900535	92.18
2	561990	All Other Support Services	19	0.00125523388900437	-0.419431256194784	33.72
2	562111	Solid Waste Collection	28	0.00112619292193058	-1.09707974432888	15.86
2	562112	Hazardous Waste Collection	12	7.7849075979482e-05	0.584968547096951	70.93
2	562119	Other Waste Collection	22	0.000110414782584413	-0.342875593095807	35.94
2	562211	Hazardous Waste Treatment and Disposal	13	0.000254037751805421	-0.065614768762588	45.98
2	562212	Solid Waste Landfill	19	0.000231212501394813	-0.699074493015198	26
2	562213	Solid Waste Combustors and Incinerators	12	2.7213618484022e-05	1.77085140337692	97.25
2	562219	Other Nonhazardous Waste Treatment and Disposal	18	0.000123826553245383	-0.0766488124699082	45.56
2	562910	Remediation Services	21	0.00059524054004944	-0.0219042066112164	47.25
2	562920	Materials Recovery Facilities	16	0.000154476292613033	-0.0565194014045219	46.3
2	562991	Septic Tank and Related Services	26	0.000224437778918078	-1.0547485135949	17.02
2	562998	All Other Miscellaneous Waste Management Services	16	0.000147695833707444	0.011209004678761	48.41
2	611110	Elementary and Secondary Schools	18	0.00751020722941018	-0.731879339547441	24.95
2	611210	Junior Colleges	19	0.000184816264822559	-1.58191051451724	6.13
2	611310	Colleges, Universities, and Professional Schools	16	0.0110694261398187	-0.241512479762626	39.43
2	611410	Business and Secretarial Schools	17	2.08576553136391e-05	1.46257237547363	94.4
2	611420	Computer Training	13	0.00011624873072907	1.18568873869513	88.48
2	611430	Professional and Management Development Training	17	0.000332448997812608	0.468545650677193	65.54
2	611511	Cosmetology and Barber Schools	23	0.000110277108291914	1.08839694433403	86.36
2	611512	Flight Training	18	0.000161107604368415	0.869153238537699	80.02
2	611513	Apprenticeship Training	18	9.6549834043966e-05	1.1738977612098	87.95
2	611519	Other Technical and Trade Schools	22	0.000374961672050611	0.313980454497978	59.2
2	611610	Fine Arts Schools	18	0.00100360543731769	0.176834895834543	53.81
2	611620	Sports and Recreation Instruction	19	0.00141939900995204	0.536358528389464	68.5
2	611630	Language Schools	15	0.000121818803146436	2.03151425532141	98.52
2	611691	Exam Preparation and Tutoring	13	0.000768440536442374	1.03999629267999	84.67
2	611692	Automobile Driving Schools	19	0.000151218001023884	0.453002449384908	64.59
2	611699	All Other Miscellaneous Schools and Instruction	22	0.00063269942046695	0.267386501440545	57.72
2	611710	Educational Support Services	21	0.00141557281190633	0.183148742484294	54.12
2	621111	Offices of Physicians (except Mental Health Specialists)	23	0.0168147177765345	0.0381882170083048	49.26
2	621112	Offices of Physicians, Mental Health Specialists	21	0.000565147234280642	0.201966273091186	54.55
2	621210	Offices of Dentists	21	0.00629924136187318	-0.222466311199532	39.96
