geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
3	541191	Title Abstract and Settlement Offices	372	0.000372500744072187	-0.7420904948046	23.15
3	541199	All Other Legal Services	94	0.000263112782252664	1.30665112047725	88.9
3	541211	Offices of Certified Public Accountants	114	0.00318940855146888	-0.0552392059501816	53.17
3	541213	Tax Preparation Services	323	0.00083431194897442	-0.80563733977984	20.3
3	541214	Payroll Services	82	0.0013412688489587	0.741489241587831	79.6
3	541219	Other Accounting Services	224	0.00232420593311494	0.38212526228075	71.14
3	541310	Architectural Services	119	0.00128539029549056	2.34251832939647	97.04
3	541320	Landscape Architectural Services	214	0.000300393833375695	0.699739249263839	78.75
3	541330	Engineering Services	137	0.00693311675025523	1.19889340456875	87.53
3	541340	Drafting Services	311	9.98654899216567e-05	0.0531780580537795	57.82
3	541350	Building Inspection Services	232	0.000211513604709709	0.313195336036591	69.34
3	541360	Geophysical Surveying and Mapping Services	158	8.75321678852639e-05	-0.624990038088909	27.8
3	541370	Surveying and Mapping (except Geophysical) Services	308	0.000344977358430041	-0.257083187179342	44.19
3	541380	Testing Laboratories and Services	173	0.00102577099841007	-0.352451528771232	39.22
3	541410	Interior Design Services	126	0.000657824978848066	2.08126633755881	96.51
3	541420	Industrial Design Services	103	0.000150305908836076	0.82869149549539	80.76
3	541430	Graphic Design Services	171	0.000731452043190904	1.33814633394701	89.43
3	541490	Other Specialized Design Services	100	0.000179418285270817	1.82761680948216	94.93
3	541511	Custom Computer Programming Services	50	0.00665175065138871	2.81323881883664	98.94
3	541512	Computer Systems Design Services	51	0.0069199000181753	2.01003253727205	96.3
3	541513	Computer Facilities Management Services	100	0.000492237223544571	0.733540204992167	79.39
3	541519	Other Computer Related Services	95	0.000853311001339318	1.2198171132055	87.74
3	541611	Administrative Management and General Management Consulting Services	58	0.00576213952826041	2.49772045698544	97.57
3	541612	Human Resources Consulting Services	75	0.000620916795600554	1.26478888124776	88.05
3	541613	Marketing Consulting Services	77	0.00229472068880468	2.57057077369861	97.89
3	541614	Process, Physical Distribution, and Logistics Consulting Services	135	0.00102655688916309	-0.0125939982098623	55.6
3	541618	Other Management Consulting Services	74	0.0008567528586518	1.51622555070094	91.97
3	541620	Environmental Consulting Services	188	0.000693614558469022	0.855881268571477	81.61
3	541690	Other Scientific and Technical Consulting Services	132	0.00153392107559601	0.647882115951459	77.48
3	541713	Research and Development in Nanotechnology	58	0.000140221266910505	1.81421064407677	94.82
3	541714	Research and Development in Biotechnology (except Nanobiotechnology)	41	0.00166776917004957	2.57435083795692	98.1
3	541715	Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)	78	0.00319809350475404	1.86921191220865	95.24
3	541720	Research and Development in the Social Sciences and Humanities	70	0.000404309242068372	1.05221537430124	85.41
3	541810	Advertising Agencies	40	0.00138276043886067	2.57166705019603	97.99
3	541820	Public Relations Agencies	50	0.00046827042379199	3.10958207510853	99.37
